000001	VARIOUS
0085A0	ZS-CCT
00893D	ZS-DMI
008B8F	ZS-EJE
008C1F	ZS-EOS
008FFF	ZS-GAW
00B021	ZS-SFG
00B022	ZS-SFH
00B023	ZS-SFI
00B025	ZS-SFK
00B026	ZS-SFL
00B0F3	ZS-SNI
00B204	ZS-SXV
00B206	ZS-SXX
00B22B	ZS-SZI
00B22C	ZS-SZJ
00B27F	ZS-TCO
00C455	ZS-ZWE
00C45F	ZS-ZWO
00C460	ZS-ZWP
00C464	ZS-ZWT
010009	SU-GAS
010072	SU-BKW
010090	SU-GBZ
010092	SU-GCB
010094	SU-GCD
0100A4	SU-GCG
0100DB	SU-GCM
0100DD	SU-GCO
0100E5	SU-BPV
0100E7	SU-BPX
010107	SU-GDK
010108	SU-GCZ
010109	SU-GDA
01010D	SU-GDE
010116	SU-BQB
01013B	SU-AAB
01013C	SU-GDN
010144	SU-GDX
010145	SU-GDY
010153	SU-GDP
010154	SU-GDR
01015D	SU-GDU
01015E	SU-GDV
010162	SU-GED
010163	SU-GEE
01018D	SU-TCE
0101A8	SU-TMH
0101B4	SU-BQM
0101B7	SU-GEG
0101B8	SU-GEH
0101B9	SU-GEI
0101BA	SU-GEJ
0101BD	SU-GEM
0101BF	SU-BTM
0101C3	SU-ALB
0101C8	SU-BQN
0101CE	SU-TMJ
0101D4	SU-TCH
0101D9	SU-TMK
012345	I-B203
01801F	5A-DMG
018035	5A-OND
018085	5A-LAU
018087	5A-WLB
020017	CN-RNJ
02001B	CN-RNL
02001C	CN-RNM
020025	CN-RNP
020026	CN-RNQ
020027	CN-RNR
020043	CN-RNT
020044	CN-RNU
020045	CN-RNV
020053	CN-RNW
020057	CN-RNZ
02005B	CN-ROC
020066	CN-ROE
02006E	CN-ROJ
02006F	CN-ROH
020072	CN-ROL
020073	CN-ROK
02007B	CN-NMF
02007D	CN-ROR
02008B	CN-ROS
020092	CN-ROT
020095	CN-ROU
0200AE	CN-ROY
0200AF	CN-ROZ
0200CA	CN-RGC
0200EA	CN-RGG
0200EC	CN-RGI
0200EF	CN-RGE
0200F2	CN-COE
0200F5	CN-COF
0200F8	CN-RGJ
020101	CN-COG
